,Event Name,Event Alias,Start Date,End Date,Location,Session Name,Paper Reference,Title,Authors,Affiliations,ISSN,ISBN,DOI,Access,Language,Summary,File name
0,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",EM and Potential Field Studies,6,Delineation of thrust-fault locations and structural setup using positive curvature and Cos(θ) analysis of gravity data,"G.K. Ghosh [1], P.P. Sarmah [1]",[1] Oil India Limited,2214-4609,9789462824584,10.3997/2214-4609.202310006,No,English,"Northeast India and its adjacent areas comprise a series of thrusts, faults, lineaments and structural complexities forming a complicated geotectonic system. These geotectonic interaction impact seismic activities and undulated subsurface in this region. The study area is surrounded by eastern Himalaya, Arakon Yoma Ranges (AYR), Shillong Massif (SM), Brahmaputra Basin, Kopili Graben and Mikir Hills. The region makes more attention to the geoscientists for its high seismic activity zone and numerous thrust-faults in the region. The aim of the present study is to realize the details associated seismo-tectonic activities for better understanding of the thrust-fault locations with the analysis of Cos(θ) map and positive curvature analysis using ground gravity data of northeast India. Present gravity data interpretations with the above techniques are able to locate the prominent thrust-fault including probable hidden thrust-faults locations. Seismic survey provides the detailed structural setup, however, due to seismic survey limitation in the hilly thrust-fold belt area, gravity data is more appropriate to delineate thrust-fault locations. The derived results are compared with the previously identified known thrust-fault locations and the outcomes are well correlated. The interpretation of Cos(θ) analysis and positive curvature analysis of gravity data add value addition to delineate and identify thrust-fault locations.",6.pdf
1,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",Petroleum Systems - 1,7,Mercury isotopy: a new frontier as contaminant-source fingerprinting applied to mercury concentration forecast in hydrocarbon fluids,"R. Jordan Leite [1], R. Ismail [1], A.H. Goodman [1], M.N. Fajarimi [1], P.K. Tiwari [1], H. Mansur [2], S.A.B.A. Hawari [2]",[1] PETRONAS; [2] Malaysia Petroleum Management,2214-4609,9789462824584,10.3997/2214-4609.202310007,No,English,"Mercury concentrations and isotopes fingerprints under investigation in rocks and hydrocarbon fluid will be integrated into a basin model for the contaminant mass balance characterization, and identification of routes of migration and accumulation in the sedimentary basin. This is a pioneer work and the first results of this continuous development will be presented. The output of this study will be a regional forecast map for the maximum contaminant concentration (mercury) at the reservoir level based on the volumetric potential of the identified mercury sources to be modeled.",7.pdf
2,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",Global Oil and Gas Exploration Case Studies,9,The Norwegian Barents Sea: Experience On Drilling Of The First Exploration Well On The Fedynskiy High,"M. Mosesyan, N.O. Berg Njå [1]", [1] AkerBP ASA,2214-4609,9789462824584,10.3997/2214-4609.202310009,No,English,"Drilling through carbonates and open karsts is very challenging due to potential severe mud losses and hole instability. In case hydrogen sulphide is present in high concentrations in these geological conditions, this could lead to hazards that are difficult to cope with. The objective is to reveal innovative drilling experience of the first ever exploration well on the Fedynskiy High in the Norwegian Barents Sea, on the borderline of Norway in the Barents Sea. Various methods of drilling and coring in karstified carbonate formations with presence of sour gas in high concentrations have been explored.
During planning, it was demonstrated that modern modelling techniques allow comprehensive analysis of H2S formation process in the reservoir fluid in the Norwegian Barents Sea, especially if both chemical and regional factors are taken into account. This is the first frontier exploration well drilled from a mobile unit on the NCS remotely with risks associated with karst and H2S.
New approaches have been developed to deliver the well in a safe and efficient manner.
Much effort has been used on modeling and regional studies. Experience uncovers new cost-efficient and safe solutions that can be considered in other regions worldwide with similar overall risk picture.",9.pdf
3,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",CCS Screening,10,Regional geological criteria for CO2 sequestration site portfolio development,S. Stewart [1],[1] Saudi Aramco,2214-4609,9789462824584,10.3997/2214-4609.202310010,No,English,"CO2 sequestration over geological timescales should consider the transition from structural and stratigraphic trapping to dissolution trapping that is believed to occur over time.  The consequences of that long-term transition for sequestration site selection and modelling are discussed here.  The density inversion from positively to negatively buoyant relative to reservoir water leg that accompanies CO2 dissolution means that synclinal traps are required as part of a long-term dynamic trapping system.  Over these timescales, head gradients in continuous reservoirs should also be considered because the resulting hydrodynamic conditions modify the structural trapping potential, so hydrodynamic rather than hydrostatic structure should be used to define synclinal traps.  Therefore, regional structural mapping plus constraints on hydraulic head gradients should be included in regional geological criteria for CO2 sequestration site portfolio development.",10.pdf
4,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",EOR and Screening Methods,18,Fluoropolymer Coating for Production Tubing to Mitigate Asphaltene Challenge in Deep Wells,"A. Abbas [1], J. Peres",[1] Kuwait Oil Company,2214-4609,9789462824584,10.3997/2214-4609.202310018,No,English,"Mitigation of asphaltene within the tubing has been a major challenge resulting in severe economic consequences through time. A number of mitigation attempts have been made in the recent past in wells producing from the lower Jurassic reservoirs with very limited encouraging results. 
Various chemical inhibitors available haven’t performed well, or could have exhibited some results with very extremely high dosages, thereby rendering them to be not economical for use. 
Mechanically scrapping of the asphaltene deposit from the tubing using coil tubing is the most widely used method to mitigate the buildup of asphaltene in the tubing. 
Additionally, the use of fluoropolymer coated tubing’s have shown promising results after having them deployed in one of the deep Marrat wells. To realize the full potential of this methodology, more wells could be taken up for coating and ultimately this approach could be expanded to the entire field.",18.pdf
5,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",Static Multi-scale and Multi-Resolution Geomodelling,21,A workflow for modelling fault leakage probability in the Gullfaks field,"A. Tertois [1], A. Haouesse [1]",[1] AspenTech,2214-4609,9789462824584,10.3997/2214-4609.202310021,No,English,"Allan maps are a convenient way of displaying juxtaposition of reservoir and seal facies along faults to help estimate where, and how much, fluids such as hydrocarbons, water or CO2 can leak through faults. In this paper, we generate Allan maps automatically for seven major faults of the Gullfaks field within a structural uncertainty modelling framework. We first perturb both fault and 
horizon geometry, always keeping the structural model consistent, and generate these juxtaposition maps for each realisation. The area of reservoir to reservoir and reservoir to seal facies is computed for each fault and can help rank and select relevant realisations for geological property modelling and fluid flow simulation. Then, from a set of 20 realisations, we integrate the information from the Allan maps into volumic grids encompassing
all geometric realisations of each fault and compute the probability that a fault is present and leaking in each cell of the grid. This representation is useful in itself to better understand the possible connections between fault blocks in the Gullfaks field, and to provide detailed transmissibility information to flow simulators.",21.pdf
6,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",Imaging 2,35,Diffraction imaging of Tertiary injectites and basement faults/fractures in the Norwegian North Sea,"T.J. Moser [1], M. Pelissier [2], P. De Groot [3], H. Jaglan [3], A. Lakhlifi [3], G. Wittmann [4], E. Rosta [4], G. Kocsis [5]",[1] Moser Geophysical Services; [2] Integrated Geoscience Solutions; [3] dGB Earth Sciences; [4] MOL Hungarian Oil and Gas Co.; [5] AGR Consultancy Services AS,2214-4609,9789462824584,10.3997/2214-4609.202310035,No,English,"Seismic diffraction imaging (DI) is applied to a field in the Norwegian North Sea, with a focus on two targets, an injectite reservoir and a deeper basement section. The DI is supported by customization to interpretation all along the workflow. A suite of DI volumes is produced to sample the continuum between diffractivity and reflectivity. This provides a clear uplift in resolution of the injectite complex and a highly faulted basement. The 3D geological organization of the diffraction image is demonstrated by extracting geobodies from the DI and comparing the forward model response of these geobodies to a premigration stack.",35.pdf
7,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",Petroleum Systems - 1,37,Exploration Potential of Ratawi Limestone Play in Kuwait Bay: a Risking Map Approach,"A. Al-Ibrahim [1], A. Prakoso [1], A. Al-Kandari [1], R. Hussain [1], J. Dashti [1], R. Abu-Talib [1], M. Al-Wadi [1]",[1] Kuwait Oil Company,2214-4609,9789462824584,10.3997/2214-4609.202310037,No,English,"Greater Burgan High is one of the most significant hydrocarbon producing trend with multiple world class Jurassic and Cretaceous fields located on it. The high continues northward into Kuwait Bay (Figure 1). The bay is in early stages of exploration and has emerged as new exploration frontier to increase both reserves and production in the State of Kuwait. The area was covered with vintage 2D seismic data. Recently, 3D seismic data was acquired and the volume is processed in both PSTM and PSDM domains. The data was thoroughly analyzed and a refined prospectivity models especially for the Lower Cretaceous Ratawi Formation is construed. Ratawi Formation is divided into two members, the upper Ratawi Shale and the lower Ratawi Limestone. The Ratawi Limestone is an important hydrocarbon producers in East Umm Gudair, Raudhatain, Sabiriyah and Bahrah fields.",37.pdf
8,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",Work-overs,39,Development And Performance Evaluation Of Novel High-Density Clean Packer And Completion Fluid For Hpht Petroleum Reservoirs,"R. Singh [1], R. Sharma [1], G.R. Rao [1]",[1] IIT Madras,2214-4609,9789462824584,10.3997/2214-4609.202310039,No,English,"The era of easily producible oil and gas has ended for quite some time, and new oil and gas fields are slowly being discovered in low to high combinations high pressure and high temperature (HPHT) wells. Generally, HPHT wells are classified under a pressure range of 10,000 to 30,000 psia and a temperature range of 350 °F to 500 °F. High density fluid systems have the ability to control the well high pressure for wellbore stability with high density, which contains fewer solids and maintains rheological stability at the HPHT reservoir for minimizing the formation damage and satisfy environmental requirements. This has demanded that new and novel packer and completion fluid designs be developed for low to high combinations HPHT wells. In this paper, developed fluid has shown with high specific gravity and optimum rheology. The calculated apparent viscosity (AV) was found low value which is desired for packer and completion fluid. Our firm belief is that the fluid can be designed optimally for a particular set of requirements specific to aid the completion process with efficient cost, less and high efficiency. From the industrial application point of view, it needs to be free from weight enhancing solid particles.",39.pdf
9,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",EOR and Screening Methods,40,Managing a Complex Polymer Project Through Comprehensive Reservoir Monitoring & Surveillance: 12 years of Operational Experience,"M. Sawafi [1], K. Hadidi",[1] Petroleum Development Oman,2214-4609,9789462824584,10.3997/2214-4609.202310040,No,English,"The largest polymer flood field in the Middle East is operating since 2010 with more than 45 polymer patterns and around 300 wells. There has been a significant amount of data collected to monitor the polymer performance from both surface and subsurface aspects such as wells production data, polymer and water injection rates, polymer viscosities, back produced polymer concentration, static and dynamic pressure, injection tubing head pressure, polymer daily consumptions and many others. The big flood of data requires to be analyzed periodically. To achieve this, the team has come up with a set of automated tools to aid in visualizing the performance of the polymer flood at any point of time. The tools have pre-set logics that pull surveillance data and produces them as readable charts and tables, which helps the team to focus the efforts to the areas of concern. The follow up on wells and patterns is run through a logic called exceptional based surveillance (EBS), where alarms are triggered when something falls out of the pre-set operating envelope. The surveillance activities have demonstrated clearly how the data-driven lead to better performance. Alongside operational excellence, an oil gain of 50% was achieved in the last 3 years.",40.pdf
10,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",Poster: Near-Surface Characterization for Hydrogeology and Mining,42,"GPR and Resistivity Surveys in Guarani Aquifer System Recharge zone, Paraná Basin, Brazil","J.L. Porsani [1], J.V. Coutinho [2], V.R.N.D. Santos [3], M.C. Stangari [1], V.R. Elis [1], E. Wendland [3]",[1] Universidade de São Paulo; [2] Universidade de São Paulo-Escola de Engenharia; [3] Kerno Geo Soluções Ltda,2214-4609,9789462824584,10.3997/2214-4609.202310042,No,English,"GPR and Resistivity surveys results are presented for the Central-East region of São Paulo State, Brazil. This region is a groundwater recharge zone at an outcrop area of the GAS-Guarani Aquifer System in the Paraná Basin. GAS is one of the largest transboundary aquifers in the world with ~1.2 million km² underlying four countries in South America (Paraguay, Uruguay, Argentina and Brazil). Our objective was to map the stratigraphic heterogeneity and hydrogeological characteristics using GPR and Resistivity methods to improve a groundwater conceptual model. GPR results of 200 MHz suggested that near to the main drainage the water table is in a layer of sandy materials. Moving away from the creek, the water table is in a layer with higher clay content and strong reflection, which may be related to a transition zone from recent sediments to the Botucatu Formation residual. Saturated and unsaturated layers were defined in a resistivity profile. Geophysical results showed good agreement with the lithological information from wells and soil samples. The zone of highest hydraulic conductivity was identified near to discharge areas in the Onça creek basin. The results contributed to improve a numerical model of groundwater flow in the GAS recharge zone.",42.pdf
11,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",Integrated Subsurface – Unconventional,44,Experimental Study on the Influence of Hydrocarbon Accumulation on Seismic Wave Velocity and Amplitude,"P. Ding [1], W. Deng [2], Y. Bai [1], W. Xu [1], F. Zhang [1]","[1] China University of Petroleum (Beijing); [2] Guangzhou Marine Geological Survey, China Geological Survey",2214-4609,9789462824584,10.3997/2214-4609.202310044,No,English,"Hydrocarbon accumulation has a great influence on the characteristics of seismic wave propagation. For example, the deep thermal methane gas migrates upward, and there is a large amount of free gas in the middle and shallow layers. The gas accumulation in the formation often induce gas chimney. This brings great difficulties to the seismic interpretation of underlying strata. In order to effectively predict the spatial distribution of gas, it is necessary to study the influence of gas accumulation on seismic wave propagation. In this study, in order to simulate gas accumulation in loose rocks in onshore and offshore strata, synthetic sandstones were used for ultrasonic testing. Under different confining pressure and pore pressure, the transmission signals of P- wave and S- wave are measured. The changes of velocity and amplitude with pressure are analyzed. It is found that the increase of pore pressure will lead to the decrease of elastic wave velocity and amplitude when the rock is subjected to a certain confining pressure. This shows that gas chimney can be generated as long as the pore pressure is high enough.",44.pdf
12,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",Near-Surface: Corrections and Characterization,46,"Statistical Surface-Consistent Residual Statics, Phase, and Amplitude Corrections","T. Lei [1], H. Wang [1], R. Xu [1]",[1] Tongji University,2214-4609,9789462824584,10.3997/2214-4609.202310046,No,English,"When seismic waves propagate in the underground medium, the stable wavelet is affected by several factors. The purpose of surface-consistent correction is to eliminate the influence of complex factors at source and receiver on residual statics, phase, and amplitude of wavelets from the same stable reflector, which is typical deconvolution. Surface-consistent deconvolution can be referred to as a Bayesian estimation problem. However, it requires a great deal of computation, the statistical method should be more efficient. Based on statistics and physical understanding, maximizing the CMP stack has been proved to eliminate residual statics and phase changes, and particle swarm optimization (PSO) algorithm is used to explore the non-convex parameter space. Then, under the physical assumption that the energy of wavelets from the same reflection interface changes steadily, the prediction-energy-change equation is introduced. The spatial mutations of amplitudes are corrected by solving a nonlinear equation system. Theoretical and practical applications show the effectiveness.",46.pdf
13,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",Poster: Seismic Acquisition,48,A cost-effective and efficient solution undershooting technique for 2D seismic data acquisition in siltation area,"R.W. Nurcahyo [1], H. Asy'ari [1]",[1] ELNUSA,2214-4609,9789462824584,10.3997/2214-4609.202310048,No,English,"Mapping earth’s subsurface and structure, seismic survey operation will get many challenges. One of the challenges in the transition area is water bottom silt up to a depth below 1 meter.

Bathymetric measurement shows in the northwest survey area, the seabed depth is shallow up to 1 meter so using sources that vary between explosive and airgun would be more costly and ineffective. Using only an airgun as the source is an efficient option but gunboats cannot pass that depth because of the draft. While the receiver used is nodal with a very flexible ability to the transition environment.

To maintain data in the prospect zone area on the northwest side of the survey, the source line is offset or shifted to a deeper water bottom where the gunboat can still pass through. This method is known as undershoot, which is doing 2D seismic data acquisition where the source and receiver are not in the same line, resulting in a CDP that is not right under the acquisition line. The effectiveness of this method is quite capable of maintaining full fold coverage and describes a good layer to be interpreted starting from the shallowest depth of about 700 milliseconds.",48.pdf
14,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",Interpolation and Regularisation,50,Seismic Data Reconstruction Using the Nonlinear Beamforming Framework,"Q. Hirsch [1], Y. Sun [1]",[1] Aramco Research Center,2214-4609,9789462824584,10.3997/2214-4609.202310050,No,English,We propose a novel wavefront operator-based seismic data reconstruction method to reconstruct spatially undersampled data. The methodology is based on the existing nonlinear beamforming (NLBF) framework used for seismic data enhancement. Traveltime operators are established and describe kinematic wavefronts on a sparse grid. The sparse wavefronts are then interpolated to the desired spatial resolution. We applied our NLBF reconstruction algorithm to a synthetic Society of Exploration Geophysicists Advanced Modeling (SEAM) Arid dataset with high-quality reconstruction results achieved. The NLBF reconstruction results of the synthetic SEAM Arid dataset show high trace fidelity to the ground truth in both the t-x and f-k domains. These results show the potential of the NLBF reconstruction method to become a common data reconstruction tool used in the seismic industry.,50.pdf
15,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",CCS Capacity and Containment,52,Quantification of CO2 Storage Efficiency with Aquifer Pumping,"R. Gadrbouh [1], M. Jackson [1], G. Point-Dumont [2]",[1] Imperial College London; [2] Shell,2214-4609,9789462824584,10.3997/2214-4609.202310052,No,English,"Many Carbon capture and storage (CCS) projects make use of aquifers for CO2 storage. In the case of closed systems, pressure build-up will limit the storage capacity and challenge the caprock integrity. Water can be pumped out of aquifers through water production wells to relieve the pressure and provide additional storage volumes. CO2 breakthrough into water producers is a setback of aquifer pumping. By understanding the effect of key aquifer parameters, pressure management strategies and different pattern geometries, we can delay this problem until later stages of the project life. Most of the predictive models available are reservoir dependent and cannot be scaled for evaluating different fields. This project aims to quantify the additional storage efficiency with brine production. Results have shown that with favourable conditions of low mobility ratio, buoyancy viscous equilibrium and large well spacing exist; the breakthrough time can be postponed to more than 60 years and the storage efficiency can reach up to 13%. When a trade-off between pressure management, delay of breakthrough time, cumulative volumes of water produced and the associated expenses with pumping and disposing of water is to be considered, passive pressure management is a more reasonable option than active pressure management.",52.pdf
16,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",4D Seismic Interpretation,53,A new reservoir signal: 4D PS time-shifts and quantitative applications,"A. Tura [1], J. Simmons [1], A. Damasceno [1,2], M. Held [1]",[1] Colorado School of Mines; [2] Petrobras,2214-4609,9789462824584,10.3997/2214-4609.202310053,No,English,"We show that time-lapse (4D) time-shifts from PS-wave data are valuable since they are very sensitive to pressure changes, whereas 4D time-shifts from PP-wave data are sensitive to both pressure and saturation changes. Combining analysis of 4D reflection with these transmission data gives another opportunity to understand and discriminate areas of pressure changes from saturation changes in field data. The method is applied to two 4D field datasets from the North Sea (N. Sea) and offshore Brazil.",53.pdf
17,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",Seismic interpretation - Siliciclastic reservoirs,54,Seismic Physical Modeling Study on the Effects of Fluid and Clay on Elastic Wave Field,"P. Ding [1], Y. Chai [1], B. Song [1], P. Sun [2], Z. Zou [2]","[1] China University of Petroleum (Beijing); [2] BGP, CNPC",2214-4609,9789462824584,10.3997/2214-4609.202310054,No,English,"The fluid and clay have important influences on the migration and accumulation of oil and gas. It is a key problem to effectively distinguish the fluid and clay in reservoirs. Fluid and clay are also an important factor in reservoir prediction using seismic data, which has a great impact on P and S wave velocities. Therefore, seismic data can provide effective information for identifying fluid saturation and clay in reservoirs. P wave is affected by many factors, and shear wave field is mainly affected by rock matrix. The comprehensive utilization of P wave and S wave data can improve the reliability and accuracy of oil and gas seismic exploration. The seismic responses of PP-, SV-SV and SH-SH waves are analyzed based on seismic physical model. It is found that PP- wave is more sensitive to the fluids, while the SH-SH wave is not sensitive to the fluids and have better imaging results. The SV-SV wave is still affected by the fluids, and the imaging results is not as good as the SH-SH wave. It also shows that SH-SH wave can have better responses to the changes caused by clay. The multiwaves can help for better fluid identification and reservoir description.",54.pdf
18,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",Poster: Integrated Subsurface Methods,55,Diagenetic Trap Potential in a Reflux Dolomitized Triassic Carbonate Formation,"S. Zhang [1], G. Wibisono [1]",[1] Aramco,2214-4609,9789462824584,10.3997/2214-4609.202310055,No,English,"Reflux dolomitization occurs where magnesium-rich brines are present in evaporative lagoons or restricted depositional environments that are associated with the proximal areas of a carbonate platform. The objective is to understand its diagenetic trap potential in a reflux dolomitization region, and to establish a reflux dolomite play concept model.
In the Mid-Late Triassic time, the Arabian plate is mainly characterized by pervasively dolomitized facies interbedded with anhydrites and minor limestone during a period of major marine transgression. In this study, seismic stratigraphic analysis was integrated with paleo-topographic restoration to recognize sedimentary facies of lagoon, inner ramp, and barrier shoal complex. The recognized facies of restricted lagoon and barrier shoals provide ideal depositional environments for reflux dolomitization with hypersaline brines. A conceptual model of reflux dolomitization is utilized to guide dolomite distribution mapping, and to predict dolomite reservoir quality based on the established depositional model. The resulting concept model shows that dolomite reservoir quality enhanced by reflux dolomitization is laterally sealed updip by tight anhydrite deposited in proximal tidal flat and/or sabkha environments. This model was calibrated and validated with well log data. 
Based on enhanced reservoir quality in dolomitized facies, the presence of seal, and the stratigraphic configuration, a reflux dolomite play concept has been established and proposed. Such a configuration of updip tight anhydrite, and lateral downdip porous dolomite reservoirs due to reflux dolomitization processes sets up for potential diagenetic traps.",55.pdf
19,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",Exploration Technologies for non-Hydrocarbons,60,Curie depth analysis of Japan and comparison with seismicity and drillhole data in Kakkonda,"Y. Okubo [1], S. Yamano [1], K. Takanashi [1], S. Akazawa [1], K. Osato [1], A. Terai [2]","[1] Geothermal Energy Research & Development Co., Ltd.; [2] Japan Organization for Metals and Energy Security",2214-4609,9789462824584,10.3997/2214-4609.202310060,No,English,"This paper shows results of Curie point depth (CPD) analysis of the Japanese Islands using magnetic data based on fractal theory. CPDs by magnetic data (Dcmag) with 50km window size range 6-9km deep in volcanic areas and are deeper than 9km in non-volcanic areas, which are concordant with the previous study. Cutoff depths calculated by JMA unified catalogue are 10km or shallower in volcanic areas, deeper than 20km in the forearc side and concordant with Dcmags. Dcmags across Kakkonda geothermal power plant (GP) gradually become shallower from 6.8km west Akita-Komagatake toward to 4.6km near Iwate volcano. The depth-to-temperature curves from drillhole database around Kakkonda GP show that thermal gradients between Iwate volcano and Kakkonda GP range 0.157-0.222K/m. Assuming that these thermal gradients continue from the bottom of hole to the deeper part, the depths reaching 580°C (Dchole) are determined. Dcholes are concordant with Dcmags in the west of Kakkonda GP and much shallower than Dcmags in the east. This suggests that Dcmags in the west represent CPD, but miss to delineate a local high temperature area smaller than 50km square in the east.",60.pdf
20,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria","Capture, Utilization and Storage of Fluids in the Subsurface (Joint EAGE/SPE)",61,Tracking hydrogen fronts from deep measurements utilizing AI – a Pohokura field study,"K. Katterbauer [1], A. Qasim [1], A. Al Shehri [1], A. Yousif [1]",[1] Saudi Aramco,2214-4609,9789462824584,10.3997/2214-4609.202310061,No,English,"For enhancing hydrogen recovery and storage projects, one of the main challenges in tracking hydrogen fronts in reservoirs is the geological and petrophysical heterogeneity and complexity of such formations.
We present an innovative artificial intelligence framework to track hydrogen fronts in subsurface storage reservoirs based on deep measurement data such as electromagnetics surveys and acoustic impedance, as well as porosity profiles. 
This framework was tested on a Pohokura field simulation study for hydrogen storage incorporating interwell deep electromagnetic surveys, acoustic impedance, and porosity profiles. Expert processing was also included in the pre-processing stage to remove inconsistent measurements in the training data.  Overall, all regression trees showed a high resemblance to the original hydrogen front. However, the tree with the smallest minimum leaf size, which is the ultra-fine tree, has the highest accuracy and certainty. As for the computational time, the coarse tree is considered to be the fastest. Comparison of the outcomes is discussed and illustrated.  
This AI framework represents an innovative approach to support hydrogen fronts tracking for hydrogen storage, by combining deep measurement data such as electromagnetic surveys, acoustic impedance, and porosity profiles with an artificial intelligence framework.",61.pdf
21,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",Hydrogen Storage,62,"Sustainable hydrogen production utilizing artificial intelligence – a McKee reservoir study
Introduction","K. Katterbauer [1], A. Al Shehri [1], A. Qasim [1], A. Yousif [1]",[1] Saudi Aramco,2214-4609,9789462824584,10.3997/2214-4609.202310062,No,English,"Hydrogen has become a very promising energy carrier. Large scale hydrogen production facilities have been constructed in order to satisfy the growing demand for hydrogen derived products. 
A major current process to generate hydrogen is autothermal reforming that utilizes oxygen, steam and carbon dioxide together with methane (derived from natural gas) in order to produce hydrogen.
A crucial challenge in the optimization of the hydrogen production process while ensuring to minimize the overall carbon dioxide emissions into the atmosphere, is to optimize both natural gas production and CO2 sequestration. 
The framework was examined on the New Zealand McKee reservoir structure model with multiple producing wells and a separate CO2 sequestration reservoir. Simulated historical production and injection data were generated for a time period of three years for various production and injection levels. 
A robust global optimization approach, based on an artificial intelligence genetic optimization, allows for simultaneously optimization of an injection pattern and uncertainty quantification. Results indicate  potential for significant reduction in required carbon dioxide, while maximizing hydrogen production.
The developed deep learning framework represents an innovative approach towards enhancing sustainability optimizing hydrogen production. The framework can be easily expanded to other types of reservoirs and production environments.",62.pdf
22,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",EM and Potential Field Studies,65,Joint inversion of gravity gradiometry and magnetic data in the Barents Sea using the probabilistic Gramian,"M. Zhdanov [1,2], M. Jorgensen [1,2], M. Tao [2]","[1] TechnoImaging; [2] CEMI, University of Utah",2214-4609,9789462824584,10.3997/2214-4609.202310065,No,English,"We have developed a novel probabilistic approach to the joint inversion of multi-modal geophysical data based on the Gramian constraint. The multi-modal geophysical survey is the most effective technique for geophysical exploration because different physical data reflect distinct physical properties of the different components of the geological system. The joint inversion of multi-modal data can produce enhanced subsurface images of the physical property distributions, which enhances our ability to explore natural resources. One effective method of joint inversion is based on the Gramian constraint. This technique enforces the relationships between different model parameters during the inversion process. We demonstrate that the Gramian can be interpreted as a determinant of the covariance matrix between different physical models representing subsurface geology in the framework of the probabilistic approach to inverse theory. This interpretation enables us to use all the power of the modern probability theory and statistics in developing new methods for the joint inversion of multi-modal geophysical data. We apply the developed joint inversion methodology to inversion of gravity gradiometry and magnetic data in the Nordkapp Basin, Barents Sea to image salt diapirs.",65.pdf
23,84th EAGE Annual Conference & Exhibition,eageannual2023,2023-06-05,2023-06-08,"Vienna, Austria",Poster: Integrated Subsurface – Unconventional,68,The Rupture Characteristics Induced by Pre-existing Fractures of Shale in Field Setting,"S. Wen [1,2], X. Shi [1,2], C. Yin [3], D. Zhang [1,2], Q. Gou [1,2], G. Wang [1,2]",[1] PetroChina Southwest Oil & Gas Field Company; [2] Sichuan Key Laboratory of Shale Gas Evaluation and Exploitation; [3] Southwest University of Science and Technology,2214-4609,9789462824584,10.3997/2214-4609.202310068,No,English,"Microseismic monitoring is a conventional technique used to evaluate the hydraulic fracturing effect according to the temporal and spatial distribution and evolution of located microseismic events (MEs). It is generally thought that few or no located MEs reflects poor hydraulic fracturing results and that more located MEs indicate a better result, but the variability in rupture behavior at different rupture scales is ignored. This paper focuses on the rupture characteristics of shale by microseismic monitoring. Because seismic wave energy is related to the rupture scale and stronger MEs are generated by larger ruptures along pre-existing fractures, fault damage zones or isolated small faults, these slippages may cause casing deformation, and the connected fracture networks may result in fluid seepage. A large number of weak MEs are ignored during fracturing because too little energy is released from small ruptures to be effectively detected, but they usually indicate a fracture network and greatly contribute to gas production in the long term. Therefore, ruptures in shale generally occur from the microscale to macroscale and express similar rupture behavior at each scale but result in different seismic characteristics, located ME distributions, fracture evolutions and engineering effects.",68.pdf
